Title,Published_Data,Views,Likes,Comments
LIVE Q&A | SQL Bootcamp Starts 15th Jun â€“ Last Chance to Join! ðŸš€,2025-06-01,6341,152,17
Top 3 SQL Interview Questions You Must Know (With Answers),2025-05-20,24935,786,71
Solving an SQL Problem during Data Analyst Interview,2024-12-16,18257,547,65
Solving the most complex SQL Problem on LeetCode | SQL Interview Question and Answer,2024-09-18,22380,718,47
SQL Case Study - Bike Rental Shop | Practice SQL Queries,2024-09-10,21126,673,42
Learn Basic SQL in 3.5 hrs | Complete SQL Beginner Course,2024-08-30,159556,3827,153
Amazon Interview | SQL Interview Problem asked during Amazon Interview,2024-06-23,44088,1356,134
Super Interesting SQL Problem | Practice SQL Queries,2024-06-03,26311,918,62
REAL SQL Interview PROBLEM by Capgemini | Solving SQL Queries,2024-05-22,98638,3002,193
Student Result Generator SQL Interview Query - 30 | #30DaySQLQueryChallenge,2024-03-30,15138,414,77
Solving an INTERMEDIATE SQL Interview Query - 29 | #30DaySQLQueryChallenge,2024-03-29,10529,290,47
SPLIT & JOIN - SQL Interview Problem - 28 | #30DaySQLQueryChallenge,2024-03-28,9449,225,44
Solving a Complex SQL Interview Problem - 27 | #30DaySQLQueryChallenge,2024-03-27,8820,271,61
"Lowest Token No - SQL Interview Query 26 | SQL Problem Level ""EASY""",2024-03-26,6818,237,35
"Data Analyst Interview Problem - SQL Interview Query 25 | SQL Problem Level ""EASY""",2024-03-25,9133,332,23
"REGEX in SQL to find Valid Email Ids - SQL Interview Query 24 | SQL Problem Level ""EASY""",2024-03-24,14485,411,22
"LEETCODE - Passenger Bus Problem - SQL Interview Query 23| SQL Problem Level ""HARD""",2024-03-23,9718,261,25
"IPL Winning Streak - SQL Interview Query 22 | SQL Problem Level ""HARD""",2024-03-22,9347,259,30
"Popular Posts - SQL Interview Query 21 | SQL Problem Level ""MEDIUM""",2024-03-21,7487,227,24
"Median Age - SQL Interview Query 20 | SQL Problem Level ""MEDIUM""",2024-03-20,8296,243,30
"FREE Pizzas - SQL Interview Query 19 | SQL Problem Level ""MEDIUM""",2024-03-19,8839,292,50
"Employee Attendance - SQL Interview Query 18 | SQL Problem Level ""MEDIUM""",2024-03-18,8901,330,24
"Consecutive User Logins - SQL Interview Query 17 | SQL Problem Level ""MEDIUM""",2024-03-17,12600,384,45
"COVID Cases - SQL Interview Query 16 | SQL Problem Level ""MEDIUM""",2024-03-16,8762,289,42
"Mutual Friends - SQL Interview Query 15 | SQL Problem Level ""HARD""",2024-03-15,10375,314,41
"Find Missing Data - SQL Interview Query 14 | SQL Problem Level ""MEDIUM""",2024-03-14,10726,360,59
"Count Employees - SQL Interview Query 13 | SQL Problem Level ""EASY""",2024-03-13,10187,343,52
"Split Hierarchy - SQL Interview Query 12 | SQL Problem Level ""HARD""",2024-03-12,12198,335,50
"Remove Outliers - SQL Interview Query 11 | SQL Problem Level ""MEDIUM""",2024-03-11,11703,390,83
"Auto Repair - SQL Interview Query 10 | SQL Problem Level ""HARD""",2024-03-10,12491,384,68
"Merge Products - SQL Interview Query 9 | SQL Problem Level ""EASY""",2024-03-09,13583,382,38
"Add Missing Values - SQL Interview Query 8 | SQL Problem Level ""MEDIUM""",2024-03-08,14318,434,92
"Find Relevant Dates - SQL Interview Query 7 | SQL Problem Level ""MEDIUM""",2024-03-07,16317,449,68
"Student Performance - SQL Interview Query 6 | SQL Problem Level ""EASY""",2024-03-06,16685,619,55
"Salary Report Generator - SQL Interview Query 5 | SQL Problem Level ""MEDIUM""",2024-03-05,21778,527,84
"Segregate Data - SQL Interview Query 4 | SQL Problem Level ""EASY""",2024-03-04,20299,725,67
"Footer Values - SQL Interview Query 3 | SQL Problem Level ""MEDIUM""",2024-03-03,26964,733,111
"Mountain Huts & Trails - SQL Interview Query 2 | SQL Problem Level ""HARD""",2024-03-02,41583,1271,126
"Remove Redundant Pairs - SQL Interview Query 1 | SQL Problem Level ""HARD""",2024-03-01,134369,4460,211
How to clear Job Interviews? Job Interview Tips,2024-02-11,19073,1080,7
Job Interview Tips | Follow these steps to clear JOB INTERVIEWS | How to clear Job Interviews?,2024-02-08,15843,908,51
Solving SQL Interview Problem with MULTIPLE solutions | Practice SQL Queries,2024-01-17,23944,931,75
SQL Project | SQL Case Study to SOLVE and PRACTICE SQL Queries | 20+ SQL Problems,2024-01-09,179900,4760,224
Top 10 SQL Interview Queries | Popular SQL Queries for SQL Interview,2023-11-22,415971,8865,313
SQL Cricket Match Problem | Solving SQL Interview Problem,2023-10-18,25172,954,96
Solving an SQL Interview Problem | Find Child - Parent - Grandparent Hierarchy using SQL,2023-10-04,34158,1011,75
From 16 years of CAREER GAP To becoming a Software Engineer | How to get a JOB after a career gap,2023-09-21,36079,835,116
3 SQL Queries Asked in Interview for Business Analyst - Solved,2023-09-13,76438,2454,127
Courses You Can Take To Get Into Data Analytics,2023-09-02,23993,514,77
Solving a Real SQL Interview Problem | Job Vacancies SQL Query,2023-08-25,55103,1806,151
SQL Data Analytics Project (PART 3) | Data Analyst Portfolio Project,2023-08-19,16022,492,48
SQL Data Analytics Project (PART 2) | Data Analyst Portfolio Project,2023-08-06,24866,573,62
SQL Data Analytics Project (PART 1) | Data Analyst Portfolio Project,2023-08-04,141059,3582,202
Learn SQL from me | Live SQL Training | SQL Bootcamp,2023-05-25,25519,669,183
Learn Python here | Learn Python Programming here,2023-05-16,17997,313,28
Solving a Complex SQL Interview problem | Practice SQL Queries,2023-03-21,55551,1463,134
REAL SQL Interview Problem | Hierarchical data in SQL,2023-03-14,51380,1466,82
Complete guide to Database Normalization in SQL,2023-03-07,251632,9305,476
How to learn SQL for free | Roadmap to learning SQL,2022-12-28,1163476,27688,701
Solving an SQL Interview Problem,2022-12-18,76216,2753,26
Solving SQL Interview Query | Find Tree Node type using SQL,2022-12-12,30491,1224,64
Solving SQL Interview Query for Data Analyst asked by a Product based company,2022-12-07,510478,11099,342
Solving a tricky SQL Interview Query,2022-11-21,52160,1715,145
SQL Interview Query for Data Analyst,2022-11-14,60895,2007,81
Solving a Complex SQL Interview Problem | Find the Most Modified File Extension,2022-10-31,30067,1065,90
SQL JOINS Interview Question | What does different SQL Joins return?,2022-10-24,544796,15625,755
Google SQL Interview Problem | Solving SQL Interview Query,2022-10-10,43935,1544,160
SQL Interview Problem asked by Product Based Company | Solving SQL Interview Query,2022-10-05,66861,2428,153
How to become a Data Analyst FASTER ?,2022-09-30,99454,4105,195
Tricky SQL Interview Query | Practice Solving SQL Interview Queries,2022-09-22,34291,975,113
"Solving SQL Interview Query using a ""VERY IMPORTANT SQL concept""",2022-09-19,123636,2985,225
Solving SQL Interview Query | SQL Problem by Service based company,2022-09-16,41204,1350,82
Practice SQL Interview Query | Big 4 Interview Question,2022-09-12,134523,4471,215
Solving SQL Interview Query | Ungroup given input data | FAANG Interview Query,2022-09-08,43893,1196,92
How to remove Duplicate Data in SQL | SQL Query to remove duplicate,2022-09-02,415447,9136,350
Solving Complex SQL Query from HackerRank | SQL Interview Query,2022-08-10,84801,1951,182
Data Analyst vs Business Analyst | What should you choose?,2022-07-26,30560,1295,109
Materialized View in SQL | Faster SQL Queries using Materialized Views,2022-07-07,144940,3308,230
Learn SQL the right way | SQL Live Training | Learn SQL from me,2022-06-28,40698,619,195
SQL Interview Assignment Queries | REAL SQL Assignment given in Interview Part 2 (Query Solution),2022-06-21,35060,721,55
SQL Interview Assignment Queries | REAL SQL Assignment given in Interview Part 1 (Problem Statement),2022-06-17,26672,675,82
REAL SQL Interview Question | Complex SQL Interview Query and Solution,2022-06-03,65119,1508,127
Top 10 Tips for JOB Interview | Tips for Job Interview,2022-05-25,16412,622,44
Solving SQL Query | Rows to Column in SQL,2022-05-18,191543,4372,202
Procedure Tutorial in SQL | SQL Stored Procedure | Procedure in SQL,2022-05-01,348873,5968,238
Best Online SQL Course to practically learn and practice SQL,2022-03-30,33134,576,119
Recursive SQL Queries Tutorial | Learn to write SQL Queries using Recursion,2022-03-23,260799,6208,349
Solving SQL Interview Queries | Tricky SQL Interview Queries,2022-03-16,333599,7614,490
How to learn SQL | Step by Step Guide on how to learn SQL,2022-03-02,148335,4965,345
ANSI vs Non ANSI Joins in SQL | SQL Query Writing using ANSI and Non ANSI method,2022-02-23,43850,879,88
SQL Views Tutorial | VIEWS in SQL Complete Tutorial,2022-02-15,337773,6882,425
Practice Writing SQL Queries on StrataScratch | How to Solve SQL Queries,2022-02-08,149041,3609,191
Subquery in SQL | Correlated Subquery + Complete SQL Subqueries Tutorial,2022-02-01,1273000,27686,1412
SQL JOINS Tutorial for beginners | Practice SQL Queries using JOINS - Part 2,2022-01-14,442171,13505,695
SQL JOINS Tutorial for beginners | Practice SQL Queries using JOINS - Part 1,2022-01-06,1273216,26976,1385
How to get your 1st DATA ANALYST Job | Data Analyst Job | How to become a Data Analyst,2021-12-29,342579,12668,1043
BEST Online Courses to Learn SQL and Practice SQL Queries | BEST SQL Courses,2021-12-22,54745,1221,138
REAL SQL Interview Question by a FAANG company | SQL Interview Query and Solution,2021-12-08,266887,5451,315
Top 25 SQL Interview Questions and Answers(The BEST SQL Interview Questions),2021-12-01,933451,27834,669
Practice SQL Interview Questions on LeetCode | Solve SQL Interview Questions (Practice SQL Queries),2021-11-18,96454,2515,130
"Thank you for 10,000 Subscribers | Answering some of your questions",2021-11-06,2545,109,85
Practice Writing SQL Queries using Real Dataset(Practice Complex SQL Queries),2021-10-28,265751,7581,382
Python Project to Scrape YouTube using YouTube Data API | Analyze and Visualize YouTube data,2021-10-13,159636,4407,313
Practice Complex SQL Queries | SQL Query to fetch N consecutive records,2021-09-28,83333,2725,196
ANACONDA Tutorial for Python | How to Install Anaconda on Mac OS and How to use Anaconda for Python,2021-09-21,131659,2160,103
Connect to PostgreSQL from Python (Using SQL in Python) | Python to PostgreSQL,2021-09-13,185304,4111,193
SQL WITH Clause | How to write SQL Queries using WITH Clause | SQL CTE (Common Table Expression),2021-09-05,689644,15790,715
STEP by STEP guide to Learn Python | How to learn PYTHON,2021-08-29,14795,640,46
Learn how to write SQL Queries(Practice Complex SQL Queries),2021-08-22,1745336,37892,1188
"SQL Window Function | How to write SQL Query using Frame Clause, CUME_DIST | SQL Queries Tutorial",2021-08-13,453604,14395,795
Learn how to use GitHub for Beginners | GitHub Tutorial,2021-08-06,92594,2282,76
Git Tutorial for Complete Beginners | Learn Git in 35 minutes,2021-07-16,59960,1972,157
Web Scraping in Python using Beautiful Soup | Writing a Python program to Scrape IMDB website,2021-07-05,178697,5600,418
Thank you for 1000 subscribers | Channel update | Who am i? & What i do?,2021-06-23,6261,156,64
Practice SQL and Python | How to Practice Programming | Using LeetCode,2021-06-08,65510,1631,59
Logging Tutorial in Python | DONâ€™T use Print for logging | How to Log messages in Python,2021-06-04,48436,1118,69
"SQL Window Function | How to write SQL Query using RANK, DENSE RANK, LEAD/LAG | SQL Queries Tutorial",2021-05-21,1316651,37995,1573
How to Read and Write Files in Python | File Handling Tutorial in Python,2021-05-05,17756,555,43
Regular Expressions in Python | Regular Expressions Python Tutorial,2021-04-22,19467,542,76
What is Data Science (for beginners) | Data Science for Beginners | Data Science Life Cycle,2021-04-08,7242,216,10
Best Resume Format | Tips for writing an AWESOME Resume | ATS Resume Format,2021-03-25,140772,4054,203
Dictionary in Python (for beginners) | Python Dictionaries | Python Tutorial #10,2021-03-18,4661,118,7
Lists in Python EXPLAINED | Python Lists | Python Tutorial for Beginners #9,2021-03-11,6065,141,10
Exception Handling in Python | TRY EXCEPT in Python | Python Tutorial for Beginners #8,2021-03-04,38505,911,31
Local and Global Scope in Python | Local and Global Variables | Python Tutorial for Beginners #7,2021-03-01,8180,212,10
What is a FUNCTION in Python | Python Functions | Python Tutorial for Beginners #6,2021-02-22,5229,140,7
Import modules in Python | Import module from different directory | Python Tutorial for beginners #5,2021-02-14,64719,907,83
WHILE loop and FOR loop in Python | LOOP statements in Python | Python Tutorial for Beginners #4,2021-02-07,7817,214,28
IF ELSE ELIF statement in Python | IF ELSE Statement in Python | Python Tutorial for Beginners #3,2021-01-31,6071,152,14
What is a VARIABLE in Python | Python Variables | Python Tutorial for Beginners #2,2021-01-25,5986,157,17
"What is DATA TYPE, OPERATORS and EXPRESSION in Python | Python Tutorial for Beginners #1",2021-01-18,10206,233,21
How to Install Python on Mac OS and How to Run Python code,2021-01-11,688212,8393,392
Excel Alternative: How to use SQL to perform EXCEL tasks (SQL for Data Analysis),2021-01-03,37806,807,56
iPhone 12 Pro Unboxing | 5 Reasons to BUY iPhone 12 Pro,2020-12-15,1352,41,24
SQL Basics Tutorial for Beginners (Practice SQL Queries),2020-12-11,1407191,27887,782
How to install PostgreSQL on Mac OS | Install and Uninstall PostgreSQL Database,2020-11-16,179910,1360,136
Learn What is Database | Types of Database | DBMS,2020-08-30,616598,9184,219
Do you need a Smartwatch,2020-07-12,11988,185,43
MacBook Pro 13 2020  One Week Later Review,2020-06-29,1624,74,20
MacBook Pro 13 2020 Unboxing,2020-06-22,3481,104,29
